Date,Open,High,Low,Close,Adj Close,Volume
2018-05-30,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-05-31,0.150000,0.150000,0.150000,0.150000,0.150000,2680
2018-06-01,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-04,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-05,0.150000,0.150000,0.150000,0.150000,0.150000,5200
2018-06-06,0.150000,0.150000,0.150000,0.150000,0.150000,11200
2018-06-07,0.150000,0.150000,0.150000,0.150000,0.150000,3200
2018-06-08,0.150000,0.150000,0.150000,0.150000,0.150000,1200
2018-06-11,0.150000,0.150000,0.150000,0.150000,0.150000,4440
2018-06-12,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-13,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-14,0.150000,0.150000,0.150000,0.150000,0.150000,1600
2018-06-15,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-18,0.150000,0.150000,0.150000,0.150000,0.150000,680
2018-06-19,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-20,0.150000,0.150000,0.150000,0.150000,0.150000,6680
2018-06-21,0.150000,0.150000,0.150000,0.150000,0.150000,10000
2018-06-22,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-06-25,0.150000,0.175000,0.150000,0.175000,0.175000,16040
2018-06-26,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-06-27,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-06-28,0.175000,0.175000,0.175000,0.175000,0.175000,40
2018-06-29,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-07-03,0.150000,0.150000,0.150000,0.150000,0.150000,12040
2018-07-04,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-05,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-06,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-09,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-10,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-11,0.175000,0.175000,0.175000,0.175000,0.175000,3600
2018-07-12,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-07-13,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-07-16,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-07-17,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-07-18,0.150000,0.150000,0.150000,0.150000,0.150000,2400
2018-07-19,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-20,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-23,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-24,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-25,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-26,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-27,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-30,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-07-31,0.150000,0.150000,0.150000,0.150000,0.150000,240
2018-08-01,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-02,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-03,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-07,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-08,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-09,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-10,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-13,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-14,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-15,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-16,0.150000,0.150000,0.150000,0.150000,0.150000,36000
2018-08-17,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-20,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-21,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-08-22,0.150000,0.150000,0.150000,0.150000,0.150000,3200
2018-08-23,0.150000,0.150000,0.150000,0.150000,0.150000,4000
2018-08-24,0.150000,0.150000,0.150000,0.150000,0.150000,200
2018-08-27,0.150000,0.150000,0.150000,0.150000,0.150000,1600
2018-08-28,0.125000,0.125000,0.125000,0.125000,0.125000,15200
